year,age,gender,geography,befolkning
2004,45,M,Helseregion Sør-Øst,89725
2004,45,M,Helseregion Vest,32519
2004,45,M,Akershus,18402
2004,45,M,Aust-Agder,3674
2004,45,M,Buskerud,8608
2004,45,M,Finnmark,2474
2004,45,M,Hedmark,6696
2004,45,M,Hordaland,15290
2004,45,M,Møre og Romsdal,8810
2004,45,M,Nordland,8425
2004,45,M,Nord-Trøndelag,4478
2004,45,M,Oppland,6616
2004,45,M,Oslo,17416
2004,45,M,Rogaland,13473
2004,45,M,Sogn og Fjordane,3756
2004,45,M,Sør-Trøndelag,9515
2004,45,M,Telemark,5999
2004,45,M,Troms,5359
2004,45,M,Vest-Agder,5438
2004,45,M,Vestfold,7839
2004,45,M,Østfold,9037
2004,50,F,Hele landet,147258
2004,50,F,Helseregion Midt-Norge,21065
2004,50,F,Helseregion Nord-Norge,14924
2004,50,F,Helseregion Sør-Øst,82410
2004,50,F,Helseregion Vest,28858
2004,50,F,Akershus,15702
2004,50,F,Aust-Agder,3537
2004,50,F,Buskerud,8188
2004,50,F,Finnmark,2333
2004,50,F,Hedmark,6555
2004,50,F,Hordaland,13700
2004,50,F,Møre og Romsdal,8156
2004,50,F,Nordland,7616
2004,50,F,Nord-Trøndelag,4290
2004,50,F,Oppland,6170
2004,50,F,Oslo,15520
2004,50,F,Rogaland,11774
2004,50,F,Sogn og Fjordane,3384
2004,50,F,Sør-Trøndelag,8619
2004,50,F,Telemark,5634
2004,50,F,Troms,4976
2004,50,F,Vest-Agder,4939
2004,50,F,Vestfold,7546
2004,50,F,Østfold,8618
2004,50,M,Hele landet,152336
2004,50,M,Helseregion Midt-Norge,21936
2004,50,M,Helseregion Nord-Norge,16334
2004,50,M,Helseregion Sør-Øst,83182
2004,50,M,Helseregion Vest,30884
2004,50,M,Akershus,15892
2004,50,M,Aust-Agder,3628
2004,50,M,Buskerud,8346
2004,50,M,Finnmark,2638
2004,50,M,Hedmark,6594
2004,50,M,Hordaland,14477
2004,50,M,Møre og Romsdal,8650
2004,50,M,Nordland,8350
2004,50,M,Nord-Trøndelag,4442
2004,50,M,Oppland,6294
2004,50,M,Oslo,15339
2004,50,M,Rogaland,12713
2004,50,M,Sogn og Fjordane,3694
2004,50,M,Sør-Trøndelag,8844
2004,50,M,Telemark,5770
2004,50,M,Troms,5348
2004,50,M,Vest-Agder,5082
2004,50,M,Vestfold,7532
2004,50,M,Østfold,8704
2004,55,F,Hele landet,148206
2004,55,F,Helseregion Midt-Norge,20556
2004,55,F,Helseregion Nord-Norge,14936
2004,55,F,Helseregion Sør-Øst,85034
2004,55,F,Helseregion Vest,27680
2004,55,F,Akershus,16408
2004,55,F,Aust-Agder,3479
2004,55,F,Buskerud,8680
2004,55,F,Finnmark,2272
2004,55,F,Hedmark,6922
2004,55,F,Hordaland,13654
2004,55,F,Møre og Romsdal,7746
2004,55,F,Nordland,7688
2004,55,F,Nord-Trøndelag,4224
2004,55,F,Oppland,6553
2004,55,F,Oslo,15644
2004,55,F,Rogaland,10838
2004,55,F,Sogn og Fjordane,3188
2004,55,F,Sør-Trøndelag,8586
2004,55,F,Telemark,5757
2004,55,F,Troms,4976
2004,55,F,Vest-Agder,4842
2004,55,F,Vestfold,7484
2004,55,F,Østfold,9263
2004,55,M,Hele landet,153154
2004,55,M,Helseregion Midt-Norge,21726
2004,55,M,Helseregion Nord-Norge,16284
2004,55,M,Helseregion Sør-Øst,85918
2004,55,M,Helseregion Vest,29227
2004,55,M,Akershus,16407
2004,55,M,Aust-Agder,3694
2004,55,M,Buskerud,8680
2004,55,M,Finnmark,2676
2004,55,M,Hedmark,7113
2004,55,M,Hordaland,14200
2004,55,M,Møre og Romsdal,8495
2004,55,M,Nordland,8373
2004,55,M,Nord-Trøndelag,4500
2004,55,M,Oppland,6584
2004,55,M,Oslo,15712
2004,55,M,Rogaland,11472
2004,55,M,Sogn og Fjordane,3555
2004,55,M,Sør-Trøndelag,8731
2004,55,M,Telemark,5900
2004,55,M,Troms,5235
2004,55,M,Vest-Agder,4897
2004,55,M,Vestfold,7652
2004,55,M,Østfold,9279
2004,60,F,Hele landet,112256
