drug,,,,ADHD-midler,ADHD-midler,Antibiotika,Antibiotika,Antidepressiva,Antidepressiva,Astma- og KOLS-midler,Astma- og KOLS-midler,Blodtrykksmidler (brukes også ved andre hjerte/kar sykdommer),Blodtrykksmidler (brukes også ved andre hjerte/kar sykdommer),Demensmidler,Demensmidler,Hormontilskudd ved overgangsalder,Hormontilskudd ved overgangsalder,Kolesterolsenkende midler,Kolesterolsenkende midler,Potensmidler,Potensmidler,Prevensjonsmidler unntatt spiraler og vaginalringer,Prevensjonsmidler unntatt spiraler og vaginalringer,Smertestillende midler,Smertestillende midler,Sovemidler og beroligende midler,Sovemidler og beroligende midler
,,,,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000,ddd,prevalens pr 1000
geography,year,age,gender,,,,,,,,,,,,,,,,,,,,,,,,
Hele landet,2005,0.000,F,,,258869.922,264.725,0.000,0.000,1068303.750,201.130,5971.967,0.665,0.000,0.000,5100.000,0.507,0.000,0.000,0.000,0.000,,,5898.396,6.308,22799.449,5.802
Hele landet,2005,0.000,M,3345.833,0.175,298835.719,286.271,,,1799586.500,250.015,9163.000,0.774,0.000,0.000,0.000,0.000,,,,,588.000,0.053,6346.840,9.083,45844.297,6.716
Hele landet,2005,5.000,F,122174.750,2.896,262228.594,183.854,3564.667,0.141,1068965.625,77.956,14810.809,0.571,0.000,0.000,609.000,0.047,,,0.000,0.000,,,19643.086,9.293,146182.703,4.677
Hele landet,2005,5.000,M,539306.688,11.066,233530.391,163.067,4935.000,0.281,1823138.625,106.435,19248.334,0.619,0.000,0.000,,,,,0.000,0.000,0.000,0.000,20734.607,10.977,363555.625,8.124
Hele landet,2005,10.000,F,404283.562,7.504,218239.438,109.805,47035.168,1.284,998871.438,49.828,25587.133,1.099,0.000,0.000,78541.156,0.671,2723.095,0.105,0.000,0.000,122872.781,4.871,104066.086,29.962,197446.344,5.917
Hele landet,2005,10.000,M,1896933.000,29.051,191405.078,95.946,73402.164,1.741,1737499.000,72.033,33837.316,1.182,0.000,0.000,,,4160.810,0.155,0.000,0.000,,,74410.445,22.769,549954.062,10.113
Hele landet,2005,15.000,F,389192.344,7.787,660369.562,246.141,561144.688,17.156,1137863.250,57.439,75535.789,3.102,0.000,0.000,54736.602,1.238,17002.635,0.557,0.000,0.000,17554240.000,424.731,422570.438,118.695,201344.234,16.489
Hele landet,2005,15.000,M,1181523.000,19.512,589426.625,152.438,291023.719,7.843,1179664.000,48.277,56483.266,1.900,0.000,0.000,,,26422.477,0.744,596.000,0.359,929.820,0.052,237427.438,75.971,254373.969,11.375
Hele landet,2005,20.000,F,102906.656,2.509,751927.438,320.104,1496664.250,43.163,1052313.250,52.895,162057.500,7.431,0.000,0.000,47541.355,1.990,62796.598,1.500,236.000,0.052,22218394.000,559.235,714350.375,186.377,406083.125,41.856
Hele landet,2005,20.000,M,267518.312,5.862,488119.875,180.769,864982.375,24.749,827117.438,36.724,191531.078,4.045,0.000,0.000,3258.000,0.036,60297.000,1.401,8766.000,2.737,2357.933,0.122,520957.250,142.622,492697.750,27.320
Hele landet,2005,25.000,F,83871.047,1.774,801775.688,314.141,2149903.250,53.593,1241317.625,54.029,388103.281,12.689,0.000,0.000,121811.961,4.464,77640.945,1.859,280.000,0.049,16541702.000,421.086,1130513.125,208.631,724545.500,55.951
Hele landet,2005,25.000,M,187276.375,3.729,443012.656,178.325,1453548.125,36.329,1037312.812,39.252,400806.562,7.735,0.000,0.000,11643.000,0.090,138836.484,3.069,27810.000,6.062,1804.753,0.132,913967.875,178.811,1066623.750,42.939
Hele landet,2005,30.000,F,86627.555,1.443,980734.375,322.716,3064088.250,63.144,1770873.000,58.797,911451.000,21.028,0.000,0.000,209734.672,6.460,193427.500,3.544,462.000,0.121,12509184.000,279.622,2073734.375,235.864,1401400.875,69.332
Hele landet,2005,30.000,M,172198.750,2.633,572189.375,195.905,2088147.875,42.342,1429901.500,43.857,1108558.000,15.647,,,6417.024,0.041,426785.656,7.326,53863.301,9.492,2552.663,0.136,1761239.375,209.930,1631082.625,51.610
Hele landet,2005,35.000,F,106899.773,1.528,965783.375,296.373,4376469.500,80.860,2360665.250,65.518,2038230.125,36.012,0.000,0.000,328286.188,8.286,403169.719,7.239,548.000,0.132,8184006.000,164.542,3371158.500,276.905,2326853.000,92.311
Hele landet,2005,35.000,M,153179.375,2.153,643593.688,197.030,2669030.250,47.938,1794312.125,45.769,2607657.250,30.286,,,5811.469,0.061,1085206.125,16.404,98173.977,14.202,1598.673,0.083,2617959.750,235.563,2232455.750,61.406
Hele landet,2005,40.000,F,90481.203,1.221,837856.000,264.900,5011251.000,97.105,2929525.000,73.346,3736031.500,60.603,1818.667,0.049,764061.188,18.718,778800.188,14.452,958.000,0.159,4326930.500,88.347,4149545.250,308.244,3337888.750,122.786
