drug,year,age,gender,geography,antall unike pasienter,prevalens pr 1000,befolkning,aup,ddd
ADHD-midler,2004,15,M,Vestfold,119,16.373,7268,1073757.250,55335.043
ADHD-midler,2004,15,M,Østfold,138,17.136,8053,1036804.875,57115.090
ADHD-midler,2004,20,F,Akershus,16,1.260,12702,33890.199,4651.333
ADHD-midler,2004,20,F,Aust-Agder,,,3216,,
ADHD-midler,2004,20,F,Buskerud,10,1.484,6737,155547.188,4914.081
ADHD-midler,2004,20,F,Finnmark,,,1998,,
ADHD-midler,2004,20,F,Hedmark,9,1.854,4854,38279.102,4432.667
ADHD-midler,2004,20,F,Hordaland,10,0.726,13778,41934.602,4421.333
ADHD-midler,2004,20,F,Møre og Romsdal,15,1.980,7574,49488.910,5232.667
ADHD-midler,2004,20,F,Nordland,14,2.038,6868,44792.449,3118.750
ADHD-midler,2004,20,F,Nord-Trøndelag,,,3796,,
ADHD-midler,2004,20,F,Oppland,,,4970,,
ADHD-midler,2004,20,F,Oslo,22,1.380,15942,96866.297,6028
ADHD-midler,2004,20,F,Rogaland,13,1.032,12603,51894.199,5000.667
ADHD-midler,2004,20,F,Sogn og Fjordane,6,1.814,3308,11428.800,1094
ADHD-midler,2004,20,F,Sør-Trøndelag,6,0.735,8158,11952,1202.667
ADHD-midler,2004,20,F,Telemark,8,1.688,4739,68465.398,2300.667
ADHD-midler,2004,20,F,Troms,,,4440,,
ADHD-midler,2004,20,F,Vest-Agder,13,2.525,5148,86042.203,5367
ADHD-midler,2004,20,F,Vestfold,19,3.057,6216,170204.875,7230.268
ADHD-midler,2004,20,F,Østfold,5,0.698,7160,26740.158,1960.667
ADHD-midler,2004,20,M,Akershus,53,3.986,13298,182744.094,15988
ADHD-midler,2004,20,M,Aust-Agder,22,6.358,3460,102137.500,6067.667
ADHD-midler,2004,20,M,Buskerud,46,6.602,6968,426115.812,18740.416
ADHD-midler,2004,20,M,Finnmark,,,2108,,
ADHD-midler,2004,20,M,Hedmark,16,3.048,5250,76734.602,6930.333
ADHD-midler,2004,20,M,Hordaland,26,1.806,14400,99669.977,7420.500
ADHD-midler,2004,20,M,Møre og Romsdal,42,5.214,8056,140279.719,11512.500
ADHD-midler,2004,20,M,Nordland,23,3.107,7402,134321,7434.667
ADHD-midler,2004,20,M,Nord-Trøndelag,18,4.618,3898,72607.656,6006
ADHD-midler,2004,20,M,Oppland,15,2.862,5242,49624.801,3990
ADHD-midler,2004,20,M,Oslo,34,2.362,14393,157525.250,13343.666
ADHD-midler,2004,20,M,Rogaland,31,2.386,12990,144902.500,10087.458
ADHD-midler,2004,20,M,Sogn og Fjordane,21,5.976,3514,126142.203,6461.167
ADHD-midler,2004,20,M,Sør-Trøndelag,28,3.334,8398,74160.602,8201
ADHD-midler,2004,20,M,Telemark,29,5.740,5052,195242.656,10617.700
ADHD-midler,2004,20,M,Troms,6,1.217,4930,17269.699,1152.333
ADHD-midler,2004,20,M,Vest-Agder,50,8.906,5614,293523.906,15918.500
ADHD-midler,2004,20,M,Vestfold,44,6.730,6538,348877.656,18709.592
ADHD-midler,2004,20,M,Østfold,16,2.208,7248,50882.801,4656
ADHD-midler,2004,25,F,Akershus,13,0.997,13041,41378.699,4584.750
ADHD-midler,2004,25,F,Aust-Agder,6,2.045,2934,56612.602,3332.667
ADHD-midler,2004,25,F,Buskerud,,,6916,,
ADHD-midler,2004,25,F,Finnmark,,,2104,,
ADHD-midler,2004,25,F,Hedmark,,,4686,,
ADHD-midler,2004,25,F,Hordaland,7,0.476,14693,25621.100,2594
ADHD-midler,2004,25,F,Møre og Romsdal,8,1.216,6580,15949.998,2850.333
ADHD-midler,2004,25,F,Nordland,7,1.136,6161,31267.199,2973.333
ADHD-midler,2004,25,F,Nord-Trøndelag,5,1.574,3176,36048.199,4258.667
ADHD-midler,2004,25,F,Oppland,0,0,0,0,0
ADHD-midler,2004,25,F,Oslo,22,0.827,26602,72255.898,5729.417
ADHD-midler,2004,25,F,Rogaland,5,0.390,12815,16917.801,1529.333
ADHD-midler,2004,25,F,Sogn og Fjordane,,,2829,,
ADHD-midler,2004,25,F,Sør-Trøndelag,10,1.130,8850,29286.801,3251.333
ADHD-midler,2004,25,F,Telemark,7,1.520,4606,71420.234,2850.125
ADHD-midler,2004,25,F,Troms,,,4596,,
ADHD-midler,2004,25,F,Vest-Agder,8,1.617,4948,25514.100,1560.167
ADHD-midler,2004,25,F,Vestfold,9,1.475,6101,51317.801,3812.250
ADHD-midler,2004,25,F,Østfold,5,0.691,7231,23199.400,2304
ADHD-midler,2004,25,M,Akershus,35,2.763,12666,155610.953,13620.666
