Valuedrug,Valuetime,Valueage,Valuegender,Valuegeography,SumAntall_unike_pasienter,SumPrevalens_pr_1000,SumBefolkning,SumSum_AUP,SumSum_DDD
ADHD-midler,2006,10 - 14,Kvinne,Møre og Romsdal,71,8.624878522837707,8232,520603,23394.341796875
ADHD-midler,2006,10 - 14,Kvinne,Nordland,119,14.718614718614719,8085,781969.75,38145.8203125
ADHD-midler,2006,10 - 14,Kvinne,Nord-Trøndelag,39,8.445214378518839,4618,349522,15157.9794921875
ADHD-midler,2006,10 - 14,Kvinne,Oppland,34,5.898681471200555,5764,220327.59375,13451.150390625
ADHD-midler,2006,10 - 14,Kvinne,Oslo,86,6.645031679802194,12942,518790.84375,29383.396484375
ADHD-midler,2006,10 - 14,Kvinne,Rogaland,131,9.060100975171174,14459,873787.625,45770.51953125
ADHD-midler,2006,10 - 14,Kvinne,Sogn og Fjordane,37,9.747102212855638,3796,255434.390625,11797.4794921875
ADHD-midler,2006,10 - 14,Kvinne,Sør-Trøndelag,49,5.391132137748927,9089,311349.96875,16043.458984375
ADHD-midler,2006,10 - 14,Kvinne,Telemark,64,11.898122327570180,5379,451564.1875,23557.25
ADHD-midler,2006,10 - 14,Kvinne,Troms,31,5.971874397996532,5191,152727.53125,7912.10986328125
ADHD-midler,2006,10 - 14,Kvinne,Vest-Agder,30,5.132591958939264,5845,204131.296875,12446.9375
ADHD-midler,2006,10 - 14,Kvinne,Vestfold,76,10.396716826265390,7310,625143.3125,26013.794921875
ADHD-midler,2006,10 - 14,Kvinne,Østfold,97,11.536631779257850,8408,611320.5,39394.67578125
ADHD-midler,2006,10 - 14,Mann,Akershus,509,27.039949001274968,18824,3866284,205289.265625
ADHD-midler,2006,10 - 14,Mann,Aust-Agder,168,44.907778668805132,3741,1052749.625,51819.6953125
ADHD-midler,2006,10 - 14,Mann,Buskerud,365,44.906496062992126,8128,3122217.75,155103.0625
ADHD-midler,2006,10 - 14,Mann,Finnmark,97,34.992784992784993,2772,690218.5,36390.27734375
ADHD-midler,2006,10 - 14,Mann,Hedmark,253,40.622992935131663,6228,1982414.125,119794.5546875
ADHD-midler,2006,10 - 14,Mann,Hordaland,310,18.874817340477350,16424,2566350.75,119356.4609375
ADHD-midler,2006,10 - 14,Mann,Møre og Romsdal,301,34.550045913682277,8712,2321410.25,98266.2109375
ADHD-midler,2006,10 - 14,Mann,Nordland,369,42.654028436018957,8651,2560481.5,141636.5625
ADHD-midler,2006,10 - 14,Mann,Nord-Trøndelag,140,29.535864978902954,4740,988605.125,57377.87890625
ADHD-midler,2006,10 - 14,Mann,Oppland,163,26.708176306734393,6103,1243190,79663.2890625
ADHD-midler,2006,10 - 14,Mann,Oslo,341,24.753193960511034,13776,2414936.5,126639.125
ADHD-midler,2006,10 - 14,Mann,Rogaland,475,30.936563761886153,15354,3709143.25,199197.765625
ADHD-midler,2006,10 - 14,Mann,Sogn og Fjordane,126,31.172686788718456,4042,1042716.4375,47124.48828125
ADHD-midler,2006,10 - 14,Mann,Sør-Trøndelag,244,26.057240495514737,9364,1701902.875,83607.8046875
ADHD-midler,2006,10 - 14,Mann,Telemark,225,39.808917197452229,5652,1808128.75,98607.6484375
ADHD-midler,2006,10 - 14,Mann,Troms,123,22.050914306202940,5578,894917.625,49550.140625
ADHD-midler,2006,10 - 14,Mann,Vest-Agder,181,29.335494327390600,6170,1208013.75,73719.8046875
ADHD-midler,2006,10 - 14,Mann,Vestfold,228,28.911995942176008,7886,1911637.5,92648.1328125
ADHD-midler,2006,10 - 14,Mann,Østfold,296,32.903512672298799,8996,2062792.875,136396.96875
ADHD-midler,2006,15 - 19,Kvinne,Akershus,162,9.588635691032850,16895,1197677.25,57660.5
ADHD-midler,2006,15 - 19,Kvinne,Aust-Agder,63,17.612524461839530,3577,341291.90625,17042.01171875
ADHD-midler,2006,15 - 19,Kvinne,Buskerud,120,15.378700499807766,7803,929631,47715.18359375
ADHD-midler,2006,15 - 19,Kvinne,Finnmark,25,10.317787866281469,2423,160457.203125,8842.5830078125
ADHD-midler,2006,15 - 19,Kvinne,Hedmark,57,9.605662285136502,5934,402840.84375,26087.8203125
ADHD-midler,2006,15 - 19,Kvinne,Hordaland,75,4.946250741937611,15163,469929.90625,24582.279296875
ADHD-midler,2006,15 - 19,Kvinne,Møre og Romsdal,71,8.566602316602317,8288,370097.03125,19406.37109375
ADHD-midler,2006,15 - 19,Kvinne,Nordland,122,15.295887662988967,7976,672367.375,36231.1484375
ADHD-midler,2006,15 - 19,Kvinne,Nord-Trøndelag,34,7.661108607480847,4438,148931.59375,10293.5
ADHD-midler,2006,15 - 19,Kvinne,Oppland,34,6.017699115044248,5650,202076.890625,12423.2939453125
ADHD-midler,2006,15 - 19,Kvinne,Oslo,130,9.892702229662887,13141,828890.0625,47141.5078125
ADHD-midler,2006,15 - 19,Kvinne,Rogaland,121,8.667621776504298,13960,851715.25,44301.69140625
ADHD-midler,2006,15 - 19,Kvinne,Sogn og Fjordane,27,7.137192704203013,3783,158502.09375,8370.216796875
ADHD-midler,2006,15 - 19,Kvinne,Sør-Trøndelag,71,7.925876311676714,8958,341492.5,21522.595703125
ADHD-midler,2006,15 - 19,Kvinne,Telemark,74,13.420384475879579,5514,446627.1875,26725.724609375
ADHD-midler,2006,15 - 19,Kvinne,Troms,43,8.646692137542731,4973,264334.625,16275.79296875
ADHD-midler,2006,15 - 19,Kvinne,Vest-Agder,44,7.625649913344887,5770,354704.0625,17687.09375
ADHD-midler,2006,15 - 19,Kvinne,Vestfold,89,11.888859203847181,7486,592069.1875,31159.4921875
ADHD-midler,2006,15 - 19,Kvinne,Østfold,112,13.671875000000000,8192,628068.5625,42265.53515625
ADHD-midler,2006,15 - 19,Mann,Akershus,370,20.568124965256546,17989,2882348.5,152927.90625
ADHD-midler,2006,15 - 19,Mann,Aust-Agder,127,34.417344173441734,3690,862053.25,41008.75
ADHD-midler,2006,15 - 19,Mann,Buskerud,263,32.084909113090155,8197,2365941.25,121888.0234375
ADHD-midler,2006,15 - 19,Mann,Finnmark,63,24.773889107353519,2543,454287.09375,22525.892578125
ADHD-midler,2006,15 - 19,Mann,Hedmark,155,24.599269957149659,6301,1205826,70991.4453125
ADHD-midler,2006,15 - 19,Mann,Hordaland,197,12.438439196868291,15838,1416418.625,73372.1953125
ADHD-midler,2006,15 - 19,Mann,Møre og Romsdal,216,24.456521739130435,8832,1537011.875,70957.203125
ADHD-midler,2006,15 - 19,Mann,Nordland,229,27.004716981132075,8480,1673185.375,88344.3359375
ADHD-midler,2006,15 - 19,Mann,Nord-Trøndelag,73,15.176715176715177,4810,465498.65625,27766.599609375
ADHD-midler,2006,15 - 19,Mann,Oppland,106,17.637271214642263,6010,764667.5,46979.31640625
ADHD-midler,2006,15 - 19,Mann,Oslo,237,17.915186333056164,13229,1491331.25,81796.46875
ADHD-midler,2006,15 - 19,Mann,Rogaland,341,22.798689576786789,14957,2770922.75,150793.171875
ADHD-midler,2006,15 - 19,Mann,Sogn og Fjordane,77,19.125683060109290,4026,649666.5,30711.05078125
ADHD-midler,2006,15 - 19,Mann,Sør-Trøndelag,203,21.960190393768931,9244,1411400.25,77671.3046875
ADHD-midler,2006,15 - 19,Mann,Telemark,165,28.730628591328574,5743,1286268.375,73081.59375
ADHD-midler,2006,15 - 19,Mann,Troms,78,14.546810891458411,5362,469730,29860.24609375
ADHD-midler,2006,15 - 19,Mann,Vest-Agder,145,24.288107202680067,5970,977858.1875,54902.8671875
ADHD-midler,2006,15 - 19,Mann,Vestfold,175,22.586473928755808,7748,1587361.875,71579.2578125
ADHD-midler,2006,15 - 19,Mann,Østfold,221,25.537323780910562,8654,1656002.75,101712.9921875
ADHD-midler,2006,20 - 24,Kvinne,Akershus,31,2.444409399148399,12682,72511.25,8765.2412109375
ADHD-midler,2006,20 - 24,Kvinne,Aust-Agder,19,5.939356048765239,3199,89159.6015625,5959.64990234375
ADHD-midler,2006,20 - 24,Kvinne,Buskerud,33,4.862953138815208,6786,279331.21875,11858.822265625
ADHD-midler,2006,20 - 24,Kvinne,Finnmark,9,4.289799809342231,2098,38753.30078125,2538
ADHD-midler,2006,20 - 24,Kvinne,Hedmark,20,4.011231448054553,4986,109588,7336.4541015625
ADHD-midler,2006,20 - 24,Kvinne,Hordaland,33,2.347417840375587,14058,138095.609375,11007.970703125
ADHD-midler,2006,20 - 24,Kvinne,Møre og Romsdal,35,4.759314658689149,7354,143801.984375,9607.2666015625
ADHD-midler,2006,20 - 24,Kvinne,Nordland,25,3.740275284260922,6684,113403.703125,6293.8330078125
ADHD-midler,2006,20 - 24,Kvinne,Nord-Trøndelag,22,5.687693898655636,3868,98249.4296875,8695
ADHD-midler,2006,20 - 24,Kvinne,Oppland,9,1.875781575656524,4798,52656.8515625,3621.33325195313
ADHD-midler,2006,20 - 24,Kvinne,Oslo,45,2.636358310387252,17069,223644.09375,16734.56640625
ADHD-midler,2006,20 - 24,Kvinne,Rogaland,33,2.565099106101827,12865,190338.625,13097.5751953125
ADHD-midler,2006,20 - 24,Kvinne,Sogn og Fjordane,14,4.419191919191919,3168,121424.6015625,4317.7666015625
ADHD-midler,2006,20 - 24,Kvinne,Sør-Trøndelag,24,2.803410816493400,8561,135839.203125,10773.3916015625
ADHD-midler,2006,20 - 24,Kvinne,Telemark,22,4.714959279897128,4666,133480.96875,8311.421875
ADHD-midler,2006,20 - 24,Kvinne,Troms,7,1.563896336014298,4476,10258.580078125,1160
ADHD-midler,2006,20 - 24,Kvinne,Vest-Agder,33,6.580259222333001,5015,166263.296875,11212.18359375
ADHD-midler,2006,20 - 24,Kvinne,Vestfold,29,4.656390494540784,6228,199037.234375,11129.2529296875
ADHD-midler,2006,20 - 24,Kvinne,Østfold,24,3.400396712949844,7058,103439.8203125,9261.7744140625
ADHD-midler,2006,20 - 24,Mann,Akershus,80,5.830053927998834,13722,379569.40625,25437.275390625
ADHD-midler,2006,20 - 24,Mann,Aust-Agder,45,13.073794305636258,3442,186345.921875,12866.416015625
ADHD-midler,2006,20 - 24,Mann,Buskerud,74,10.523321956769056,7032,545463.5625,25662.65234375
ADHD-midler,2006,20 - 24,Mann,Finnmark,18,8.253094910591472,2181,55828.48046875,3759.08325195313
ADHD-midler,2006,20 - 24,Mann,Hedmark,31,5.794392523364486,5350,220240.625,13620.8330078125
ADHD-midler,2006,20 - 24,Mann,Hordaland,52,3.532608695652174,14720,201062.796875,14946.5625
ADHD-midler,2006,20 - 24,Mann,Møre og Romsdal,61,7.585177816463566,8042,247971.90625,15730.1337890625
ADHD-midler,2006,20 - 24,Mann,Nordland,51,6.927465362673187,7362,301031.6875,15652.2001953125
ADHD-midler,2006,20 - 24,Mann,Nord-Trøndelag,46,11.758691206543967,3912,252760.5,16599.583984375
ADHD-midler,2006,20 - 24,Mann,Oppland,31,5.865657521286660,5285,109436.265625,10753.1474609375
ADHD-midler,2006,20 - 24,Mann,Oslo,55,3.553660270078181,15477,189697.40625,15914.4833984375
ADHD-midler,2006,20 - 24,Mann,Rogaland,50,3.781004234724743,13224,297357.65625,17302.724609375
ADHD-midler,2006,20 - 24,Mann,Sogn og Fjordane,28,8.083140877598152,3464,180017.953125,9407.2080078125
ADHD-midler,2006,20 - 24,Mann,Sør-Trøndelag,46,5.216602404173282,8818,188627.34375,18997.103515625
ADHD-midler,2006,20 - 24,Mann,Telemark,53,10.492971688774500,5051,317311.3125,18312.419921875
ADHD-midler,2006,20 - 24,Mann,Troms,22,4.532344458178822,4854,105102.6015625,7878.66650390625
ADHD-midler,2006,20 - 24,Mann,Vest-Agder,52,9.382894261999278,5542,244110.375,20006.25
ADHD-midler,2006,20 - 24,Mann,Vestfold,73,11.023859861069163,6622,533678.625,34822.30078125
ADHD-midler,2006,20 - 24,Mann,Østfold,52,7.140895358418017,7282,248538.84375,20666.166015625
ADHD-midler,2006,25 - 29,Kvinne,Akershus,36,2.835315428841459,12697,147122.796875,12694.7626953125
ADHD-midler,2006,25 - 29,Kvinne,Aust-Agder,16,5.649717514124294,2832,123527.578125,8368.548828125
ADHD-midler,2006,25 - 29,Kvinne,Buskerud,17,2.510336680448907,6772,111318.6484375,4837.14599609375
ADHD-midler,2006,25 - 29,Kvinne,Finnmark,5,2.621919244887257,1907,41140.66015625,2086
ADHD-midler,2006,25 - 29,Kvinne,Hedmark,12,2.737226277372263,4384,67216.1015625,3513.9375
ADHD-midler,2006,25 - 29,Kvinne,Hordaland,17,1.158748551564311,14671,85672.8984375,6645.0830078125
ADHD-midler,2006,25 - 29,Kvinne,Møre og Romsdal,18,2.764976958525346,6510,87633.9453125,6385.8330078125
ADHD-midler,2006,25 - 29,Kvinne,Nordland,19,3.190596137699412,5955,148042.703125,7788.83349609375
ADHD-midler,2006,25 - 29,Kvinne,Nord-Trøndelag,7,2.232142857142857,3136,53427.4609375,3867.57983398438
ADHD-midler,2006,25 - 29,Kvinne,Oppland,11,2.472465722634300,4449,39560.30078125,3177.470703125
ADHD-midler,2006,25 - 29,Kvinne,Oslo,41,1.491885597845863,27482,185316.453125,13249.029296875
ADHD-midler,2006,25 - 29,Kvinne,Rogaland,27,2.047626270286668,13186,181484,10434
ADHD-midler,2006,25 - 29,Kvinne,Sogn og Fjordane,11,4.008746355685131,2744,47581.91796875,3223
ADHD-midler,2006,25 - 29,Kvinne,Sør-Trøndelag,18,2.006241640659831,8972,80333.203125,5931.3330078125
ADHD-midler,2006,25 - 29,Kvinne,Telemark,5,1.160900859066636,4307,26770.80078125,2386.66650390625
ADHD-midler,2006,25 - 29,Kvinne,Troms,6,1.329787234042553,4512,34961.1015625,3522.66650390625
ADHD-midler,2006,25 - 29,Kvinne,Vest-Agder,18,3.623188405797101,4968,104408.3984375,7471.0498046875
ADHD-midler,2006,25 - 29,Kvinne,Vestfold,26,4.465819306080385,5822,172248.90625,14820.560546875
ADHD-midler,2006,25 - 29,Kvinne,Østfold,23,3.271227421419428,7031,49538.390625,6568.4375
ADHD-midler,2006,25 - 29,Mann,Akershus,54,4.409603135717785,12246,346984.40625,21478.966796875
ADHD-midler,2006,25 - 29,Mann,Aust-Agder,31,10.458839406207827,2964,157729.5,13301.3330078125
ADHD-midler,2006,25 - 29,Mann,Buskerud,37,5.435581019538710,6807,263848.5,15791.69140625
ADHD-midler,2006,25 - 29,Mann,Finnmark,12,5.620608899297424,2135,131337.703125,5821.5
ADHD-midler,2006,25 - 29,Mann,Hedmark,18,3.837953091684435,4690,203483.796875,9761.5419921875
ADHD-midler,2006,25 - 29,Mann,Hordaland,53,3.479516806722689,15232,231924.4375,19887.666015625
ADHD-midler,2006,25 - 29,Mann,Møre og Romsdal,38,5.444126074498567,6980,159951.9375,12892.1044921875
ADHD-midler,2006,25 - 29,Mann,Nordland,37,5.712521228964027,6477,226418.125,12598
ADHD-midler,2006,25 - 29,Mann,Nord-Trøndelag,21,6.227758007117438,3372,126826.6015625,10713.7373046875
ADHD-midler,2006,25 - 29,Mann,Oppland,25,5.310110450297366,4708,135749.09375,13142.2998046875
ADHD-midler,2006,25 - 29,Mann,Oslo,60,2.452783909737552,24462,270476.65625,20939.9921875
ADHD-midler,2006,25 - 29,Mann,Rogaland,45,3.278449657584147,13726,283442.4375,18610.126953125
ADHD-midler,2006,25 - 29,Mann,Sogn og Fjordane,19,6.699576868829337,2836,122090.7265625,10310.8330078125
ADHD-midler,2006,25 - 29,Mann,Sør-Trøndelag,33,3.422171523384839,9643,181512.203125,13343.853515625
ADHD-midler,2006,25 - 29,Mann,Telemark,28,6.096233398650120,4593,136552.21875,10359.0068359375
ADHD-midler,2006,25 - 29,Mann,Troms,13,2.726510067114094,4768,43321.125,3719.41650390625
